Nro,CODIGO,X,Y,ALTURA,SITIO,FUENTE,CAMPAÑA,AÑO,FECHA,DATUM,ZONA,PROVINCIA,CANTON,PARROQUIA,DEMARCACION HIDROGRAFICA,CUENCA,SUBCUENCA, CODIGO UNIDAD HIDROGRAFICA PFAFSTETTER, UNIDAD HIDROGRAFICA PFAFSTETTER,TIPO DE MUESTRA,NUMERO DE ORDEN DE TRABAJO
241,DHN-CNAP-22,988829,9960891,265,LIMONCOCHA,RIO BLANCO,CAMPAÑA 1,2013,13/09/2014,WGS 84,17 S,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,NAPO,RIO NAPO ,RIO NAPO ,497877,UNIDAD HIDROGRAFICA 497877,SIMPLE,014-2013-SENAGUA-DNCA-STRH
242,DHN-CSMP-01,956160,10027205,273,,RIO SAN MIGUEL SECTOR BALASTRERA,CAMPAÑA 1,2013,13/11/2014,WGS 84,17 S,,,,NAPO,RIO NAPO ,RIO NAPO ,,,SIMPLE,014-2013-SENAGUA-DNCA-STRH
243,DHN-CSMP-02,967018,10015930,207,GENERAL FARFAN,RIO PUÑUÑA,CAMPAÑA 1,2013,14/11/2014,WGS 84,17 S,SUCUMBIOS,LAGO AGRIO,GENERAL FARFAN,NAPO,RIO SAN MIGUEL ,,497496,CUENCA RIO SAN MIGUEL,SIMPLE,014-2013-SENAGUA-DNCA-STRH
244,DHN-CSMP-03,1001483,10026494,262,,RIO SAN MIGUEL,CAMPAÑA 1,2013,13/11/2014,WGS 84,17 S,,,,NAPO,,DRENAJES AL ESTERO SALADO ,,,SIMPLE,014-2013-SENAGUA-DNCA-STRH
245,DHN-CSMP-04,1027618,10045638,241,SANTA ELENA,RIO WUSUYA,CAMPAÑA 1,2013,26/09/2014,WGS 84,17 S,SUCUMBIOS,PUTUMAYO,SANTA ELENA,NAPO,RIO SAN MIGUEL ,,497487,UNIDAD HIDROGRAFICA 497487,SIMPLE,014-2013-SENAGUA-DNCA-STRH
246,DHN-CSMP-05,1045351,10014595,230,PALMA ROJA,RIO TACE,CAMPAÑA 1,2013,25/09/2014,WGS 84,17 S,SUCUMBIOS,PUTUMAYO,PALMA ROJA,NAPO,RIO SAN MIGUEL ,,497496,CUENCA RIO SAN MIGUEL,SIMPLE,014-2013-SENAGUA-DNCA-STRH
247,DHN-CSMP-06,1068521,10011176,260,PUERTO EL CARMEN DEL PUTUMAYO,RIO SAN MIGUEL,CAMPAÑA 1,2013,14/11/2014,WGS 84,17 S,SUCUMBIOS,PUTUMAYO,PUERTO EL CARMEN DEL PUTUMAYO,NAPO,,DRENAJES AL ESTERO SALADO ,497496,CUENCA RIO SAN MIGUEL,SIMPLE,014-2013-SENAGUA-DNCA-STRH
248,DHN-CSMP-07,1078012,10005696,182,PUERTO EL CARMEN DEL PUTUMAYO,RIO PAPAYA GRANDE,CAMPAÑA 1,2013,14/11/2014,WGS 84,17 S,SUCUMBIOS,PUTUMAYO,PUERTO EL CARMEN DEL PUTUMAYO,NAPO,,,497495,UNIDAD HIDROGRAFICA 497495,SIMPLE,014-2013-SENAGUA-DNCA-STRH
249,DHPC-SA-02,613656,9554060,1054,MERCADILLO,MATALANGA,CAMPAÑA 1,2013,05/09/2013,WGS84,17S,LOJA,PUYANGO,ALAMOR,PUYANGO_CATAMAYO,CATAMAYO,RIO ALAMOR,13849,UNIDAD HIDROGRAFICA 13849,SIMPLE,012-2013-SENAGUA-DNCA-STRH
250,DHPC-SA-03,589045,9529340,247,SAUCILLO,ALAMOR,CAMPAÑA 1,2013,05/09/2013,WGS84,17S,LOJA,CELICA,SABANILLA,PUYANGO_CATAMAYO,CATAMAYO,RIO ALAMOR,13847,UNIDAD HIDROGRAFICA 13847,SIMPLE,012-2013-SENAGUA-DNCA-STRH
251,DHPC-SA-04,566679,9505503,124,PTE INTERNACIONAL LALAMOR,ALAMOR,CAMPAÑA 1,2013,05/09/2013,WGS84,17S,LOJA,ZAPOTILLO,ZAPOTILLO,PUYANGO_CATAMAYO,CATAMAYO,RIO ALAMOR,13841,UNIDAD HIDROGRAFICA 13841,SIMPLE,012-2013-SENAGUA-DNCA-STRH
252,DHPC-SC-01,680539,9583742,2342,PUENTE GUALEL,GUALEL,CAMPAÑA 1,2013,06/09/2013,WGS84,17S,LOJA,LOJA,GUALEL,PUYANGO_CATAMAYO,CATAMAYO,RIO CATAMAYO,13898,CUENCA RIO GUALEL,SIMPLE,012-2013-SENAGUA-DNCA-STRH
253,DHPC-SC-03,691834,9524270,1491,MOYOCOCHA,PISCOBAMBA,CAMPAÑA 1,2013,02/09/2013,WGS84,17S,LOJA,LOJA,VILCABAMBA (VICTORIA),PUYANGO_CATAMAYO,CATAMAYO,RIO CATAMAYO,13899,UNIDAD HIDROGRAFICA 13899,SIMPLE,012-2013-SENAGUA-DNCA-STRH
254,DHPC-SC-04,680354,9551337,1163,EL ARENAL,CATAMAYO,CAMPAÑA 1,2013,05/09/2013,WGS84,17S,LOJA,CATAMAYO,EL TAMBO,PUYANGO_CATAMAYO,CATAMAYO,RIO CATAMAYO,13899,UNIDAD HIDROGRAFICA 13899,SIMPLE,012-2013-SENAGUA-DNCA-STRH
255,DHPC-SC-05,677742,9556580,1155,GUAYABAL,GUAYABAL,CAMPAÑA 1,2013,02/09/2013,WGS84,17S,LOJA,CATAMAYO,SAN PEDRO DE LA BENDITA,PUYANGO_CATAMAYO,CATAMAYO,RIO CATAMAYO,13897,UNIDAD HIDROGRAFICA 13897,SIMPLE,012-2013-SENAGUA-DNCA-STRH
256,DHPC-SC-07,663712,9551907,1011,SAN VICENTE,CATAMAYO,CAMPAÑA 1,2013,03/09/2013,WGS84,17S,LOJA,PALTAS,CATACOCHA,PUYANGO_CATAMAYO,CATAMAYO,RIO CATAMAYO,13897,UNIDAD HIDROGRAFICA 13897,SIMPLE,012-2013-SENAGUA-DNCA-STRH
257,DHPC-SM-04,599029,9527693,,VICIN,CATAMAYO,CAMPAÑA 1,2013,04/09/2013,WGS84,17S,LOJA,CELICA,SABANILLA,PUYANGO_CATAMAYO,CATAMAYO,RIO CATAMAYO,13891,UNIDAD HIDROGRAFICA 13891,SIMPLE,012-2013-SENAGUA-DNCA-STRH
258,DHPC-SC-11,696525,9516296,1691,BT LA PALMIRA,AGUACOLLAS,CAMPAÑA 1,2013,06/09/2013,WGS84,17S,LOJA,LOJA,QUINARA,PUYANGO_CATAMAYO,CATAMAYO,RIO CATAMAYO,13899,UNIDAD HIDROGRAFICA 13899,SIMPLE,012-2013-SENAGUA-DNCA-STRH
259,DHPC-SM-01,672439,9512681,1119,LUCERO,PINDO,CAMPAÑA 1,2013,10/09/2013,WGS84,17S,LOJA,ESPINDOLA,EL INGENIO,PUYANGO_CATAMAYO,CATAMAYO,RIO MACARA,13899,UNIDAD HIDROGRAFICA 13889,SIMPLE,012-2013-SENAGUA-DNCA-STRH
260,DHPC-SM-02,657592,9503851,906,PUERTO REMOLINO,CALVAS,CAMPAÑA 1,2013,11/09/2013,WGS84,17S,LOJA,CALVAS,USAIME,PUYANGO_CATAMAYO,CATAMAYO,RIO MACARA,,,SIMPLE,012-2013-SENAGUA-DNCA-STRH
261,DHPC-SM-03,628987,9505901,533,BT CANAL MACARA,MACARA,CAMPAÑA 1,2013,03/09/2013,WGS84,17S,LOJA,MACARA,la victoria,PUYANGO_CATAMAYO,CATAMAYO,RIO MACARA,,,SIMPLE,012-2013-SENAGUA-DNCA-STRH
262,DHPC-SC-10,615275,9514291,393,PUENTE INTERNACIONAL MACARA,MACARA,CAMPAÑA 1,2013,04/09/2013,WGS84,17S,LOJA,MACARA,MACARA,PUYANGO_CATAMAYO,CATAMAYO,RIO MACARA,13881,UNIDAD HIDROGRAFICA 13881,SIMPLE,012-2013-SENAGUA-DNCA-STRH
263,DHPC-SM-05,595502,9526165,263,MACARA,MACARA,CAMPAÑA 1,2013,04/09/2013,WGS84,17S,LOJA,MACARA,MACARA,PUYANGO_CATAMAYO,CATAMAYO,RIO MACARA,13881,UNIDAD HIDROGRAFICA 13881,SIMPLE,012-2013-SENAGUA-DNCA-STRH
264,DHPC-SM-06,672624,9481636,2700,JIMBURA,ESPINDOLA,CAMPAÑA 1,2013,10/09/2013,WGS84,17S,LOJA,ESPINDOLA,JIMBURA,PUYANGO_CATAMAYO,CATAMAYO,RIO MACARA,13888,CUENCA RIO ESPINDOLA,SIMPLE,012-2013-SENAGUA-DNCA-STRH
265,DHPC-SM-07,674765,9493518,1701,AMALUZA,JORUPE,CAMPAÑA 1,2013,10/09/2013,WGS84,17S,LOJA,ESPINDOLA,AMALUZA,PUYANGO_CATAMAYO,CATAMAYO,RIO MACARA,13888,CUENCA RIO ESPINDOLA,SIMPLE,012-2013-SENAGUA-DNCA-STRH
266,DHPC-RCH-01,584107,9514793,170,ZAPOTILLO,CHIRA,CAMPAÑA 1,2013,04/09/2013,WGS84,17S,LOJA,ZAPOTILLO,QUIROZ,PUYANGO_CATAMAYO,CATAMAYO,RIO ALAMOR,,,SIMPLE,012-2013-SENAGUA-DNCA-STRH
267,DHJ-CARE-01,637976,9594827,,SECTOR JOCOTOCO EN LA VIA,CHORRO BIRINGO ,CAMPAÑA 1,2013,10/07/2013,WGS84,17 S,EL ORO,PIÑAS,MOROMORO (CAB. EN EL VADO),JUBONES,RIO ARENILLAS,RIO ARENILLAS,13938,CUENCA RIO SANTA ROSA,SIMPLE, 002-2013-SENAGUA-DNCA-STRH
268,DHJ-CARE-02,623588,9589856,,SECTOR LA PRIMAVERA,QUEBRADA LA PRIMAVERA,CAMPAÑA 1,2013,10/07/2013,WGS84,17 S,EL ORO,PIÑAS,LA BOCANA,JUBONES,RIO ARENILLAS,RIO ARENILLAS,13938,CUENCA RIO SANTA ROSA,SIMPLE, 002-2013-SENAGUA-DNCA-STRH
269,DHJ-CARE-03,620028,9597825,,SECTOR PIEDRAS ANTES DE LA ENTRADA AL EMBALSE TAHUIN.,RIO ARENILLAS COLA EMBALSE ,CAMPAÑA 1,2013,10/07/2013,WGS84,17 S,EL ORO,PIÑAS,PIEDRAS,JUBONES,RIO ARENILLAS,RIO ARENILLAS,13938,CUENCA RIO SANTA ROSA,SIMPLE, 002-2013-SENAGUA-DNCA-STRH
270,DHJ-CARE-04,610330,9599048,,SITIO A LA SALIDA DEL EMBALSE,RIO ARENILLAS SALIDA DEL EMBALSE TAHUI,CAMPAÑA 1,2013,10/07/2013,WGS84,17 S,EL ORO,ARENILLAS,ARENILLAS,JUBONES,RIO ARENILLAS,RIO ARENILLAS,13938,CUENCA RIO SANTA ROSA,SIMPLE, 002-2013-SENAGUA-DNCA-STRH
271,DHJ-CARE-05,609058,9618637,,SECTOR PUENTE EL CHECO,RIO ARENILLAS PUENTE DEL CHECO ,CAMPAÑA 1,2013,10/07/2013,WGS84,17 S,EL ORO,SANTA ROSA,SANTA ROSA,JUBONES,RIO ARENILLAS,RIO ARENILLAS,13938,CUENCA RIO SANTA ROSA,SIMPLE, 002-2013-SENAGUA-DNCA-STRH
272,DHJ-CSR-01,629440,9603165,,SECTOR EL SABAYAN,RIO SANTA ROSA (BLANCO),CAMPAÑA 1,2013,11/07/2013,WGS84,17 S,EL ORO,SANTA ROSA,TORATA,JUBONES,RIO SANTA ROSA,RIO SANTA ROSA,13938,CUENCA RIO SANTA ROSA,SIMPLE, 002-2013-SENAGUA-DNCA-STRH
273,DHJ-CSR-02,626507,9602953,,SECTOR EL GUAYABO,QUEBRADA EL PANTEON,CAMPAÑA 1,2013,11/07/2013,WGS84,17 S,EL ORO,SANTA ROSA,TORATA,JUBONES,RIO SANTA ROSA,RIO SANTA ROSA,13938,CUENCA RIO SANTA ROSA,SIMPLE,002-2013-SENAGUA-DNCA-STRH
274,DHJ-CSR-03,617058,9606612,,SECTOR EL VADO,RIO SANTA ROSA EL VADO ,CAMPAÑA 1,2013,11/07/2013,WGS84,17 S,EL ORO,SANTA ROSA,LA AVANZADA,JUBONES,RIO SANTA ROSA,RIO SANTA ROSA,13938,CUENCA RIO SANTA ROSA,SIMPLE, 002-2013-SENAGUA-DNCA-STRH
275,DHJ-CSR-04,616345,9618307,,SECTOR BARRIO MI ROSITA,RIO SANTA ROSA ( FINAL),CAMPAÑA 1,2013,11/07/2013,WGS84,17 S,EL ORO,SANTA ROSA,SANTA ROSA,JUBONES,RIO SANTA ROSA,RIO SANTA ROSA,13938,CUENCA RIO SANTA ROSA,SIMPLE, 002-2013-SENAGUA-DNCA-STRH
276,DHJ-CSR-9,637350,9616418,,SECTOR DOS BOCAS,RIO DUMARI (BLANCO),CAMPAÑA 1,2013,11/07/2013,WGS84,17 S,EL ORO,SANTA ROSA,VICTORIA,JUBONES,RIO SANTA ROSA,RIO SANTA ROSA,13938,CUENCA RIO SANTA ROSA,SIMPLE, 002-2013-SENAGUA-DNCA-STRH
277,DHJ-CSR-10,628580,9627928,,SECTOR BARRIO LA GUABITA,RIO BUENAVISTA ( FINAL ) ,CAMPAÑA 1,2013,12/07/2013,WGS84,17 S,EL ORO,SANTA ROSA,VICTORIA,JUBONES,RIO BUENAVISTA,RIO BUENAVISTA  (SUBCUENCA RIO BUENAVISTA CUENCA SANTA ROSA),13938,CUENCA RIO SANTA ROSA,SIMPLE, 002-2013-SENAGUA-DNCA-STRH
278,DHJ-CSR-06,630814,9611260,,SECTOR VALLE HERMOSO,RIO BIRON,CAMPAÑA 1,2013,12/07/2013,WGS84,17 S,EL ORO,SANTA ROSA,BELLAMARIA,JUBONES,RIO SANTA ROSA,RIO SANTA ROSA,13938,CUENCA RIO SANTA ROSA,SIMPLE, 002-2013-SENAGUA-DNCA-STRH
279,DHJ-CSR-08,616554,9620583,,SECTOR EL QUEMADO,RIO CALUGURO (FINAL),CAMPAÑA 1,2013,12/07/2013,WGS84,17 S,EL ORO,SANTA ROSA,SANTA ROSA,JUBONES,RIO BUENAVISTA,RIO CALUGURO,13938,CUENCA RIO SANTA ROSA,SIMPLE, 002-2013-SENAGUA-DNCA-STRH
280,DHJ-CSR-07,626294,9613372,,SECTOR BELLA MARIA,RIO CALUGURO,CAMPAÑA 1,2013,12/07/2013,WGS84,17 S,EL ORO,SANTA ROSA,BELLAMARIA,JUBONES,RIO BUENAVISTA,RIO CALUGURO,13938,CUENCA RIO SANTA ROSA,SIMPLE, 002-2013-SENAGUA-DNCA-STRH
281,DHJ-CSR-05,614899,9620254,,SECTOR EL QUEMADO SITIO PTE. EL PITAL,RIO SANTA ROSA FINAL. EL PITAL,CAMPAÑA 1,2013,12/07/2013,WGS84,17 S,EL ORO,MACHALA,EL RETIRO,JUBONES,RIO SANTA ROSA,RIO SANTA ROSA,13938,CUENCA RIO SANTA ROSA,SIMPLE, 002-2013-SENAGUA-DNCA-STRH
282,BEP-Z-EC-01,590452,9596850,,SECTOR LA PRESA,RIO ZARUMILLA,CAMPAÑA 1,2013,10/09/2013,WGS84,17 S,EL ORO,ARENILLAS,CARCABON,JUBONES,RIO ZARUMILLA,RIO ZARUMILLA,13934,CUENCA QUEBRADA PALMALES,SIMPLE, 015-2013-SENAGUA-DNCA-STRH
283,BEP-Z-EC-02,590794,9595801,,SECTOR QUEBRADA SECA,QUEBRADA PALMALES,CAMPAÑA 1,2013,10/09/2013,WGS84,17 S,EL ORO,ARENILLAS,CARCABON,JUBONES,RIO ZARUMILLA,RIO ZARUMILLA,13934,CUENCA QUEBRADA PALMALES,SIMPLE, 015-2013-SENAGUA-DNCA-STRH
284,BEP-Z-EC-05-2013,596341,9593239,,SECTOR EL PROGRESO,QUEBRADA CHIQUITA,CAMPAÑA 1,2013,10/09/2013,WGS84,17 S,EL ORO,ARENILLAS,PALMALES,JUBONES,RIO ZARUMILLA,RIO ZARUMILLA,13934,CUENCA QUEBRADA PALMALES,SIMPLE,015-2013-SENAGUA-DNCA-STRH
285,BEP-Z-EC-04,610615,9586410,,SECTOR SAN ISIDRO,QUEBRADA EL OSO,CAMPAÑA 1,2013,10/09/2013,WGS84,17 S,EL ORO,LAS LAJAS,SAN ISIDRO,JUBONES,RIO ZARUMILLA,RIO ZARUMILLA,13934,CUENCA QUEBRADA PALMALES,SIMPLE, 015-2013-SENAGUA-DNCA-STRH
286,BEP-Z-EC-03,602558,9579519,,SECTOR PLATANILLO,RIO LAS LAJAS,CAMPAÑA 1,2013,10/09/2013,WGS84,17 S,EL ORO,LAS LAJAS,LA VICTORIA,JUBONES,RIO ZARUMILLA,RIO ZARUMILLA,13934,CUENCA QUEBRADA PALMALES,SIMPLE, 015-2013-SENAGUA-DNCA-STRH
287,DHJ-CJUB-07,653694,9632404,246,SECTOR UZHCURRUMI,RIO JUBONES MEDIO,CAMPAÑA 1,2013,11/09/2013,WGS84,17 S,EL ORO,PASAJE,UZHCURRUMI,JUBONES,RIO JUBONES ,RIO JUBONES MEDIO,13943,UNIDAD HIDROGRAFICA 13943,SIMPLE, 015-2013-SENAGUA-DNCA-STRH
288,DHJ-CJUB-05,689339,9633063,,SECTOR SULUPALI,RIO RIRCAY,CAMPAÑA 1,2013,11/09/2013,WGS84,17 S,AZUAY,SANTA ISABEL,SANTA ISABEL (CHAGUARURCO),JUBONES,RIO RIRCAY,RIO RIRCAY,13946,CUENCA RIO RIRCAY,SIMPLE, 015-2013-SENAGUA-DNCA-STRH
289,DHJ-CJUB-04,703772,9653383,,SECTOR HOSTERIA EL CHORRO DE GIRON,QUEBRADA EL CHORRO,CAMPAÑA 1,2013,11/09/2013,WGS84,17 S,AZUAY,GIRON,GIRON,JUBONES,RIO RIRCAY,RIO RIRCAY,13946,CUENCA RIO RIRCAY,SIMPLE, 015-2013-SENAGUA-DNCA-STRH
290,DHJ-CJUB-01,698598,9599857,,VIA SARAGURO EL EL PUENTE CARRETERO,RIO PAQUISHAPA,CAMPAÑA 1,2013,12/09/2013,WGS84,17 S,LOJA,SARAGURO,SARAGURO,JUBONES,RIO JUBONES,RIO LEON,13948,CUENCA RIO NARANJO,SIMPLE, 015-2013-SENAGUA-DNCA-STRH
291,DHJ-CJUB-03,721878,9637610,,SECTOR MANZANAPAMBA,RIO LEON (BLANCO),CAMPAÑA 1,2013,12/09/2013,WGS84,17 S,AZUAY,NABON,NABON,JUBONES,RIO LEON,RIO LEON,13949,UNIDAD HIDROGRAFICA 13949,SIMPLE, 015-2013-SENAGUA-DNCA-STRH
292,DHJ-CJUB-02,707162,9602878,,VIA URDANETA,RIO QUINGUEADO,CAMPAÑA 1,2013,12/09/2013,WGS84,17 S,AZUAY,NABON,NABON,JUBONES,RIO LEON,RIO LEON,13949,UNIDAD HIDROGRAFICA 13949,SIMPLE, 015-2013-SENAGUA-DNCA-STRH
293,DHJ-CJUB-06,665932,9633827,,SECTOR SAN SEBASTIAN,RIO JUBONES   ,CAMPAÑA 1,2013,13/09/2013,WGS84,17 S,EL ORO,ZARUMA,ABAÑIN,JUBONES,RIO JUBONES,RIO JUBONES,13943,UNIDAD HIDROGRAFICA 13943,SIMPLE, 015-2013-SENAGUA-DNCA-STRH
294,DHJ-CJUB-08,644002,9631033,,SECTOR CASACAY,RIO CASACAY,CAMPAÑA 1,2013,13/09/2013,WGS84,17 S,EL ORO,PASAJE,CASACAY,JUBONES,BAJO JUBONES,RIO CASACAY,13942,CUENCA RIO CASACAY,SIMPLE, 015-2013-SENAGUA-DNCA-STRH
295,DHJ-CMOT-01,639328,9625933,,SECTOR AGUA DULCE,RIO PALENQUE,CAMPAÑA 1,2013,13/09/2013,WGS84,17 S,EL ORO,PASAJE,PASAJE,JUBONES,BAJO JUBONES,BAJO JUBONES,13939,UNIDAD HIDROGRAFICA 13939,SIMPLE, 015-2013-SENAGUA-DNCA-STRH
296,DHJ-CMOT-02,623391,9629277,,EN PUENTE CARRETERO,RIO MOTUCHE,CAMPAÑA 1,2013,13/09/2013,WGS84,17 S,EL ORO,PASAJE,BUENAVISTA,JUBONES,ESTERO MOTUCHE,ESTERO MOTUCHE,13939,UNIDAD HIDROGRAFICA 13939,SIMPLE, 015-2013-SENAGUA-DNCA-STRH
297,DHJ-CJUB-09,625294,9639843,,EN PUENTE CARRETERO SECTOR IBERIA,RIO JUBONES (FINAL),CAMPAÑA 1,2013,13/09/2013,WGS84,17 S,EL ORO,PASAJE,BUENAVISTA,JUBONES,RIO JUBONES,RIO JUBONES,13939,UNIDAD HIDROGRAFICA 13939,SIMPLE, 015-2013-SENAGUA-DNCA-STRH
298,DHJ-CCHA-01,645371,9639405,463,HACIENDA CERRO AZUL. CAPTACION JULIA TORRES,RIO CHAGUANA,CAMPAÑA 1,2013,21/10/2013,WGS84,17 S,EL ORO,PASAJE,PROGRESO,JUBONES,RIO PAGUA,RIO PAGUA,13952,CUENCA RIO ZAPOTE,SIMPLE, 023-2013-SENAGUA-DNCA-STRH
299,DHJ-CCHA-02,630856,9653049,2,EN HACIENDA AURSURSA,RIO CHAGUANA,CAMPAÑA 1,2013,21/10/2013,WGS84,17 S,EL ORO,EL GUABO,TENDALES (CAB. EN PUERTO TENDALES),JUBONES,RIO PAGUA,RIO PAGUA,13952,CUENCA RIO ZAPOTE,SIMPLE, 023-2013-SENAGUA-DNCA-STRH
300,DHJ-CPAG-01,642198,9655150,148,EN HACIENDA DE ANDRES MACHUCA,RIO PAGUA,CAMPAÑA 1,2013,21/10/2013,WGS84,17 S,EL ORO,EL GUABO,RIO BONITO,JUBONES,RIO PAGUA,RIO PAGUA,13953,UNIDAD HIDROGRAFICA 13953,SIMPLE,023-2013-SENAGUA-DNCA-STRH
301,DHJ-CPAG-02,634879,9660543,1,SITIO PAGUA VIEJO,RIO PAGUA,CAMPAÑA 1,2013,21/10/2013,WGS84,17 S,EL ORO,EL GUABO,RIO BONITO,JUBONES,RIO PAGUA,RIO PAGUA,13954,CUENCA RIO TENGUEL,SIMPLE, 023-2013-SENAGUA-DNCA-STRH
302,DHJ-CSIETE-01,650492,9653934,978,LOS RIOS,RIO MARGARITA,CAMPAÑA 1,2013,22/10/2013,WGS84,17 S,EL ORO,EL GUABO,RIO BONITO,JUBONES,,,13954,CUENCA RIO TENGUEL,SIMPLE,023-2013-SENAGUA-DNCA-STRH
303,DHJ-CSIETE-02,636500,9661440,3,SITIO EL PEDREGAL,RIO SIETE,CAMPAÑA 1,2013,22/10/2013,WGS84,17 S,EL ORO,EL GUABO,RIO BONITO,JUBONES,RIO SIETE,RIO SIETE,13954,CUENCA RIO TENGUEL,SIMPLE,023-2013-SENAGUA-DNCA-STRH
304,DHJ-CFERMIN-01,637643,9661353,2,SITIO EL PEDREGAL. RIO FERMIN DJ RIO GUANACHE,RIO FERMIN,CAMPAÑA 1,2013,22/10/2013,WGS84,17 S,GUAYAS,GUAYAQUIL,TENGUEL,JUBONES,RIO TENGUEL,RIO TENGUEL,13954,CUENCA RIO TENGUEL,SIMPLE, 023-2013-SENAGUA-DNCA-STRH
305,DHJ-CTE-02,633006,9668503,3,SECTOR EN BANANERA QUE COLINDA CON CAMARONERA. VIA PTO. CONCHERO,RIO TENGUEL (FINAL),CAMPAÑA 1,2013,22/10/2013,WGS84,17 S,GUAYAS,GUAYAQUIL,TENGUEL,JUBONES,RIO TENGUEL,RIO TENGUEL,13954,CUENCA RIO TENGUEL,SIMPLE, 023-2013-SENAGUA-DNCA-STRH
306,DHJ-CTE-01,645632,9662342,5,SECTOR SANTA MARTA,RIO TENGUEL,CAMPAÑA 1,2013,22/10/2013,WGS84,17 S,GUAYAS,GUAYAQUIL,TENGUEL,JUBONES,RIO TENGUEL,RIO TENGUEL,13954,CUENCA RIO TENGUEL,SIMPLE, 023-2013-SENAGUA-DNCA-STRH
307,DHJ-CGAL-02,657617,9664998,719,SECTOR SAN JACINTO DE IÑAN,RIO TENGUELILLO,CAMPAÑA 1,2013,23/10/2013,WGS84,17 S,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,JUBONES,,,13954,CUENCA RIO TENGUEL,SIMPLE, 023-2013-SENAGUA-DNCA-STRH
308,DHJ-CGAL-01,653050,9662317,1544,SECTOR SAN GERARDO,RIO PINGLIO,CAMPAÑA 1,2013,23/10/2013,WGS84,17 S,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,JUBONES,,,13954,CUENCA RIO TENGUEL,SIMPLE, 023-2013-SENAGUA-DNCA-STRH
309,DHJ-CGAL-03,641309,9669890,31,PUENTE CARRETERO,RIO CHICO,CAMPAÑA 1,2013,23/10/2013,WGS84,17 S,GUAYAS,GUAYAQUIL,TENGUEL,JUBONES,,,13954,CUENCA RIO TENGUEL,SIMPLE, 023-2013-SENAGUA-DNCA-STRH
310,DHJ-CGAL-04,636456,9671774,4,SECTOR SAN RAFAEL,RIO GALA,CAMPAÑA 1,2013,23/10/2013,WGS84,17 S,GUAYAS,SAN JACINTO DE YAGUACHI,SAN JACINTO DE YAGUACHI,JUBONES,RIO GALA,RIO GALA,,,SIMPLE, 023-2013-SENAGUA-DNCA-STRH
311,DHJ-CBA-02,630563,9679040,0,SECTOR PUERTO BALAO,RIO BALAO,CAMPAÑA 1,2013,23/10/2013,WGS84,17 S,GUAYAS,BALAO,BALAO,JUBONES,RIO BALAO,RIO BALAO,13956,CUENCA RIO BALAO,SIMPLE, 023-2013-SENAGUA-DNCA-STRH
312,DHJ-CBA-01,665785,9680040,679,SECTOR IBERIA. SITIO LA PLAYA,RIO CHAUCHA,CAMPAÑA 1,2013,24/10/2013,WGS84,17 S,AZUAY,CAMILO PONCE ENRIQUEZ,EL CARMEN DE PIJILI,JUBONES,,,13956,CUENCA RIO BALAO,SIMPLE, 023-2013-SENAGUA-DNCA-STRH
313,DHJ-CJA-01 ,654603,9686206,162,SECTOR LUZ Y GUIA,RIO FRIO,CAMPAÑA 1,2013,24/10/2013,WGS84,17 S,AZUAY,CAMILO PONCE ENRIQUEZ,EL CARMEN DE PIJILI,JUBONES,,,13956,CUENCA RIO BALAO,SIMPLE, 023-2013-SENAGUA-DNCA-STRH
314,DHJ-CJA-02,641300,9688429,15,SECTOR SANTA KARLA,RIO JAGUA,CAMPAÑA 1,2013,24/10/2013,WGS84,17 S,GUAYAS,BALAO,BALAO,JUBONES,RIO JAGUA,RIO JAGUA,13956,CUENCA RIO BALAO,SIMPLE, 023-2013-SENAGUA-DNCA-STRH
315,DHJ-CSP-01 ,652633,9694844,180,SECTOR SAN MIGUEL DE AZUAY,RIO CAÑAYACU,CAMPAÑA 1,2013,24/10/2013,WGS84,17 S,,,,JUBONES,,,,,SIMPLE, 023-2013-SENAGUA-DNCA-STRH
316,DHJ-CSP-02,645327,9700749,8,SECTOR COOP. 10 DE ENERO,RIO SAN PABLO,CAMPAÑA 1,2013,24/10/2013,WGS84,17 S,GUAYAS,NARANJAL,NARANJAL,JUBONES,RIO SAN PABLO,RIO SAN PABLO,13958,CUENCA RIO SAN PABLO,SIMPLE, 023-2013-SENAGUA-DNCA-STRH
317,DHJ-CNA-01,668190,9709284,223,SECTOR AGUAS CALIENTES,RIO TIXAY,CAMPAÑA 1,2013,25/10/2013,WGS84,17 S,GUAYAS,NARANJAL,JESUS MARIA,JUBONES,,,13964,CUENCA RIO GRAMALOTAL,SIMPLE, 023-2013-SENAGUA-DNCA-STRH
318,DHJ-CNA-02,647525,9708333,7,SECTOR SANTA ROSA DE FLANDES,RIO NARANJAL,CAMPAÑA 1,2013,25/10/2013,WGS84,17 S,GUAYAS,NARANJAL,SANTA ROSA DE FLANDES,JUBONES,RIO NARANJAL,RIO NARANJAL,13958,CUENCA RIO SAN PABLO,SIMPLE, 023-2013-SENAGUA-DNCA-STRH
